
NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12;
1417;2021-04-20;69000000;5;17;28;41;46;10;11;20911708;1;3;7;28;639;1141;1568;15930;26236;69173;83399;369576;0;0;2;3;142;213;324;2911;5265;14599;15123;74427;68414615,00;200125,00;20045,30;1560,90;125,90;74,50;38,10;18,70;12,70;8,90;9,00;6,40;
1416;2021-04-16;58000000;6;11;29;40;48;5;9;26832784;0;5;5;51;767;2212;1682;32527;36313;75862;180117;551262;0;0;1;9;152;458;354;6515;7591;16126;35469;115809;0,00;154073,80;36009,50;1099,60;134,60;49,30;45,60;11,70;11,70;10,50;5,30;5,50;
1415;2021-04-13;42000000;16;20;31;47;50;2;8;19888731;0;3;13;26;777;1520;1662;21426;34882;76962;114624;492560;0;0;7;6;165;324;345;4110;6935;15908;21885;100067;0,00;0,00;78273,20;1340,80;142,80;61,40;51,00;12,90;13,10;11,10;5,30;6,10;
1414;2021-04-09;31000000;2;8;32;35;44;8;11;25847893;0;3;13;26;777;1520;1662;21426;34882;76962;114624;492560;0;0;7;6;165;324;345;4110;6935;15908;21885;100067;0,00;247364,30;13341,40;2077,70;128,00;69,20;44,40;17,20;11,80;9,90;8,10;5,90;
1413;2021-04-06;17000000;2;21;37;38;50;7;8;17907927;0;3;2;20;421;982;952;15459;21900;44909;88631;354897;0;0;1;2;72;189;193;2950;4149;8239;18318;70663;0,00;171378,80;60081,00;1871,30;163,70;74,20;53,70;16,50;13,00;11,80;7,20;5,70;
1412;2021-04-02;144000000;4;21;34;40;47;2;5;1261780;1;1;8;44;1015;2498;2147;38360;45644;95022;220716;694744;0;0;2;10;189;498;441;8470;9800;20963;50788;154107;144755907,00;1027964,60;30031,50;1700,70;135,80;58,30;47,60;13,30;12,50;11,10;5,80;5,80;
1411;2021-03-30;125000000;24;27;28;29;42;4;8;27904997;0;4;4;39;765;2156;1573;33349;37459;81606;182285;586711;0;0;0;11;166;439;331;7026;7832;16685;38448;124370;0,00;200288,10;46810,60;1495,40;140,40;52,60;50,70;11,90;11,80;10,10;5,50;5,30;
1410;2021-03-26;115000000;10;12;37;49;50;3;8;35307840;0;5;21;55;1013;2595;2161;40468;47140;100247;225736;716203;0;2;2;13;216;548;488;8988;10644;22682;50479;165613;0,00;202737,60;11281,60;1341,60;134,10;55,30;46,70;12,40;11,90;10,40;5,60;5,50;
1409;2021-03-23;97000000;2;26;29;36;49;3;9;24722892;0;3;8;33;628;1756;1354;28140;30210;65288;161700;473034;0;0;2;8;144;385;275;5960;6271;13123;35215;98323;0,00;236598,00;20736,30;1565,70;151,50;57,30;52,20;12,50;13,00;11,20;5,40;5,90;
1408;2021-03-19;86000000;3;9;35;43;44;1;10;30686223;0;4;6;26;707;1527;1820;22752;33727;88534;124513;530063;0;1;1;5;123;285;362;4690;7017;18358;26421;112463;0,00;220250,30;34317,40;2466,70;167,10;81,70;48,20;19,20;14,50;10,20;8,80;6,50;
1407;2021-03-16;71000000;23;25;32;35;47;2;6;22992215;0;4;6;40;628;1686;1362;25162;29856;65078;140955;446089;0;0;0;5;133;333;287;5026;5746;12051;29495;87321;0,00;165026,60;25712,90;1201,30;140,90;55,50;48,20;13,00;12,20;10,40;5,80;5,80;
1406;2021-03-12;58000000;4;6;9;11;44;10;11;30203241;0;7;13;35;1098;1749;3167;24117;44346;131304;120258;579055;0;1;4;7;286;354;849;4782;10247;33016;22726;126272;0,00;123876,40;15589,50;1803,50;105,90;70,20;27,20;17,90;10,80;6,80;9,00;5,90;
1405;2021-03-09;43000000;1;16;21;32;33;11;12;21365626;0;2;5;41;477;1043;1386;15161;23387;67182;80486;351440;0;0;0;5;85;192;256;2810;4546;13416;15170;69691;0,00;306703,50;28672,60;1089,10;172,40;83,30;44,00;20,10;14,50;9,40;9,50;6,80;
1404;2021-03-05;30000000;4;5;39;46;48;7;10;28003651;0;3;5;23;638;1451;1338;22791;30928;68082;133487;499764;0;1;0;3;101;319;271;5196;6351;13513;31818;107415;0,00;267994,90;37580,80;2544,60;168,90;78,50;59,80;17,50;14,40;12,20;7,50;6,30;
1403;2021-03-02;17000000;2;19;24;26;49;6;7;20684828;0;2;5;30;712;1537;1470;21358;33011;64927;114577;471779;0;0;0;6;180;358;374;4829;8142;14486;25683;110452;0,00;296930,70;27759,00;1441,00;111,80;54,70;40,20;13,80;9,90;9,40;6,40;4,90;
1402;2021-02-26;210000000;6;12;22;29;33;6;11;61006392;1;12;35;108;2406;4760;5419;63073;101722;227281;310363;1334324;0;3;11;33;732;1311;1575;17861;29202;64848;84861;370590;210000000,00;2494703,80;11695,70;1180,50;97,60;52,10;32,10;13,80;9,50;7,90;7,00;5,10;
